index,ID_Two,Address,City,Latitude,Longitude,Price,Restaurant,Pizza_Type
106,AVweZbc9ByjofQCxx1kF,4001 John Knox Dr,Abilene,32.403556,-99.767292,25.0,DoubleDaves PizzaWorks,Chocolate Chip Pizza
107,AVwdDZzcByjofQCxlBKL,3414 W Union Hills Dr,Phoenix,33.65465,-112.13275,25.0,Ray's Pizza,Meatball Pizza Roll
108,AVwdDZzcByjofQCxlBKL,3414 W Union Hills Dr,Phoenix,33.65465,-112.13275,25.0,Ray's Pizza,Green Pepper and Onion Pizza Roll
109,AVwdDZzcByjofQCxlBKL,3414 W Union Hills Dr,Phoenix,33.65465,-112.13275,25.0,Ray's Pizza,Pizza Fries with Pepperoni Or Bacon
110,AVwd4yfD_7pvs4fz-JKy,2300 Muscatine Ave,Iowa City,41.649871000000005,-91.501576,25.0,Papa Murphys,Garden Vegetarian Pizza Baking Required
111,AVwd4yfD_7pvs4fz-JKy,2300 Muscatine Ave,Iowa City,41.649871000000005,-91.501576,25.0,Papa Murphys,Medium Chicken Garlic Gluten Free Crust Pizza Baking Required
112,AVwd4yfD_7pvs4fz-JKy,2300 Muscatine Ave,Iowa City,41.649871000000005,-91.501576,25.0,Papa Murphys,Medium Cowboy Gluten Free Crust Pizza Baking Required
113,AVwd4yfD_7pvs4fz-JKy,2300 Muscatine Ave,Iowa City,41.649871000000005,-91.501576,25.0,Papa Murphys,Taco Grande Pizza Baking Required
114,AVwd4yfD_7pvs4fz-JKy,2300 Muscatine Ave,Iowa City,41.649871000000005,-91.501576,25.0,Papa Murphys,Chicken Bacon Stuffed Pizza Baking Required
115,AVwd4yfD_7pvs4fz-JKy,2300 Muscatine Ave,Iowa City,41.649871000000005,-91.501576,25.0,Papa Murphys,Create Your Own Large Pizza Baking Required
116,AVwd4yfD_7pvs4fz-JKy,2300 Muscatine Ave,Iowa City,41.649871000000005,-91.501576,25.0,Papa Murphys,Create Your Own Family Size Pizza Baking Required
117,AVwd4yfD_7pvs4fz-JKy,2300 Muscatine Ave,Iowa City,41.649871000000005,-91.501576,25.0,Papa Murphys,Mini Murph Cheese Pizza Baking Required
118,AVwd4yfD_7pvs4fz-JKy,2300 Muscatine Ave,Iowa City,41.649871000000005,-91.501576,25.0,Papa Murphys,Medium Murphy39s Combo Gluten Free Crust Pizza Baking Required
119,AVwd4yfD_7pvs4fz-JKy,2300 Muscatine Ave,Iowa City,41.649871000000005,-91.501576,25.0,Papa Murphys,Cowboy Pizza Baking Required
120,AVwd4yfD_7pvs4fz-JKy,2300 Muscatine Ave,Iowa City,41.649871000000005,-91.501576,25.0,Papa Murphys,Create Your Own Medium Gluten Free Crust Pizza Baking Required
121,AVwd4yfD_7pvs4fz-JKy,2300 Muscatine Ave,Iowa City,41.649871000000005,-91.501576,25.0,Papa Murphys,Greek Pepperoni Pizza Baking Required
122,AVwd4yfD_7pvs4fz-JKy,2300 Muscatine Ave,Iowa City,41.649871000000005,-91.501576,25.0,Papa Murphys,S39mores Pizza
123,AVwd4yfD_7pvs4fz-JKy,2300 Muscatine Ave,Iowa City,41.649871000000005,-91.501576,25.0,Papa Murphys,Chicken Garlic Pizza Baking Required
124,AVwd4yfD_7pvs4fz-JKy,2300 Muscatine Ave,Iowa City,41.649871000000005,-91.501576,25.0,Papa Murphys,Hawaiian Pizza Baking Required
125,AVwdtJCD_7pvs4fz8g3-,5474 Central Florida Pkwy,Orlando,28.407027000000003,-81.45003,40.0,Famas Ristorante,Build You Own Pizza
126,AVwckJ-gkufWRAb5wlE8,9705 Mintworth Ave,Charlotte,35.172024,-80.70837900000001,25.0,Angelas Italian Restaurant,Vitello Alla Pizzaiola
127,AVwckJ-gkufWRAb5wlE8,9705 Mintworth Ave,Charlotte,35.172024,-80.70837900000001,25.0,Angelas Italian Restaurant,New York Style Pizza with Meatballs
128,AVwckJ-gkufWRAb5wlE8,9705 Mintworth Ave,Charlotte,35.172024,-80.70837900000001,25.0,Angelas Italian Restaurant,New York Style Pizza with Fresh Garlic
129,AVwckJ-gkufWRAb5wlE8,9705 Mintworth Ave,Charlotte,35.172024,-80.70837900000001,25.0,Angelas Italian Restaurant,New York Style Pizza with Onions
130,AVwckJ-gkufWRAb5wlE8,9705 Mintworth Ave,Charlotte,35.172024,-80.70837900000001,25.0,Angelas Italian Restaurant,New York Style Pizza with Ham
